role_slug,role_name,source,wp_admin_access,admin_bar_visible,site_settings_plugins_themes,user_management,content_rights,media_upload,tutor_lms,forum_rights,front_end_profile_edit,notes
administrator,Administrator,"Core + Tutor",Yes,Yes,Yes,Yes,"All posts and pages",Yes,Yes,"Indirect via site admin",Yes,"Full site control; includes Tutor LMS management rights."
editor,Editor,Core,No,No,No,No,"All posts and pages",Yes,No,"No explicit forum rights",Yes,"Ultimate Member currently blocks wp-admin access for this role."
author,Author,Core,No,No,No,No,"Own posts only, including publish/delete",Yes,No,"No explicit forum rights",Yes,"Good for staff publishing their own articles only."
contributor,Contributor,Core,No,No,No,No,"Own posts only, draft/edit/delete before publish",No,No,"No explicit forum rights",Yes,"Cannot publish posts or upload media."
subscriber,Subscriber,Core,No,No,No,No,"Read only",No,No,"No explicit forum rights",Yes,"Basic logged-in account role."
tutor_instructor,Tutor Instructor,Tutor LMS,Plugin/default,Plugin/default,No,No,"Tutor content only",Yes,Yes,"No explicit forum rights",Plugin/default,"Can manage Tutor courses, lessons, quizzes, and questions; verify final dashboard behavior in staging."
bbp_keymaster,Keymaster,bbPress,"No explicit dashboard capability","No explicit dashboard capability",No,No,"Forum management only",No,No,"Full forum moderation and management","No explicit profile capability","Highest bbPress role; not a substitute for site administrator."
bbp_moderator,Moderator,bbPress,"No explicit dashboard capability","No explicit dashboard capability",No,No,"Forum moderation only",No,No,"Strong forum moderation","No explicit profile capability","Can moderate topics and replies, including others' content."
bbp_participant,Participant,bbPress,"No explicit dashboard capability","No explicit dashboard capability",No,No,"Forum participation only",No,No,"Can create and edit own topics/replies","No explicit profile capability","Standard forum member role."
bbp_spectator,Spectator,bbPress,"No explicit dashboard capability","No explicit dashboard capability",No,No,"Read-only forum access",No,No,"View-only forum access","No explicit profile capability","Suitable for read-only forum viewers."
bbp_blocked,Blocked,bbPress,No,No,No,No,None,No,No,"No forum participation",No,"Explicitly denied forum rights."
um_expert_pending,Expert Applicant,Ultimate Member,No,No,No,No,"Read only",No,No,"No explicit forum rights",Yes,"Workflow role for pending expert applications; redirects to the front end after login."
um_expert_approved,Expert Roster Member,Ultimate Member,No,No,No,No,"Read only",No,No,"No explicit forum rights",Yes,"Workflow role for approved expert roster members; redirects to the front end after login."
